job_title,job_description
Telecommunications Technician,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to serve as a communications focal point controller whose responsibilities are to monitor the production efforts to meet mission requirements."
Communications Clerk,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to perform duties in support of the telephone control, equipment and data management services."
Computer Scientist,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The mission of the United States Air Force is to fly, fight and win in air, space and cyberspace. To achieve that mission, the AF has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core value."
Information Technology Specialist,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to apply analytical processes to the planning, design, and implementation of new and improved information systems to meet the business requirements of customer organizations."
Telecommunications Worker,"Additional Information: This announcement may be used to fill one or more vacancies.
Duties and responsibilities vary and may increase according to grade level.
This public notice may be used to fill target grades (i.e. WG-08 and WG-12)"
Wire Communications Cable Splicer,This announcement may be used to fill one or more vacancies. Duties and responsibilities vary and may increase according to grade level. This public notice may be used to fill target grades (e.g. WG-09 to WG-11). There may be promotion potential up to the WG-11 or equivalent.
Security Specialist,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to implement and administer the Special Access Program (SAP) information security program."
Human Resources Specialist,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to provide comprehensive HR services for assigned organizations across the Air Force."
MISCELLANEOUS CLERK & ASSISTANT,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to serve as the primary point of contact for all administrative support programs"
Government Information Specialist,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to manage the Freedom of Information Act (FOIA) and Privacy Act (PA) program for the (installation/organization/wing)."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
RN - Critical Care,Vacancy Identification Number (VIN): 10389415. Please read this announcement in its entirety before beginning the application process to ensure you submit all the required documents. All documents requiring signature must be signed and dated prior to submission in order to be considered complete.
Physician Assistant,These Physician Assistant positions are located within the Great Plains Area IHS. There MAY NOT be immediate vacancies at all locations. Interested applicants should check with the local Administrative Office concerning immediate employment needs. This position is being announced concurrently under Excepted Service/Merit Promotion procedures. Please review vacancy announcement number ++IHS-19-GP-10391149-ESEP/MP++; for eligibility requirements.
Physician Assistant,These Physician Assistant positions are located within the Great Plains Area IHS. There MAY NOT be immediate vacancies at all locations. Interested applicants should check with the local Administrative Office concerning immediate employment needs. This position is being announced concurrently under Delegated Examining procedures. Please review vacancy announcement number ++IHS-19-GP-10391151-DE++; for eligibility requirements.
TECHNICAL WRITER-EDITOR,You will serve as a Technical Writer-Editor in the NAVAIRWARCENWPNDIV CHINA LAKE. THIS IS AN EXPEDITED HIRING AUTHORITY ANNOUNCEMENT. The Duncan Hunter National Defense Authorization Act (NDAA) FY 2009 provides that the Secretary of Defense can designate acquisition positions as shortage positions and recruit and appoint highly qualified persons to these positions. This position will be filled at the DA-02 pay band (GS-5/8 equivalent) with full performance of DA-04 (GS-11/12 equivalent).
Registered Nurse (Endoscopy),The VA Ann Arbor Healthcare System is seeking a Registered Nurse to be a member of the Endoscopy Team.
SUPERVISORY HUMAN RESOURCES SPECIALIST,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SUPERVISORY HUMAN RESOURCES SPECIALIST, Position Description Number D2124000 and is part of the MA ANG 104th FW, National Guard. This is a Non-Bargaining Unit position. The unit point of contact and contact phone for this position is: Major Matthew West at 413-568-9151, extension 6981766."
Contract Specialist,"Tour of Duty: 8:00 a.m. - 4:30 p.m.
Position Description Title/PD#: Contract Specialist/ PD# 15050A, 15054A, 15055A
Compressed/Flexible Schedules: Available
Telework: Eligible
Virtual Position: No
This recruitment is for two positions with the Service Area Office Central (SAOC) Network Contracting Office (NCO) 15, located in Leavenworth, KS. THIS IS AN OPEN CONTINUOUS ANNOUNCEMENT WITH A CLOSING DATE OF 08/02/2019.
Applications will be referred as received or as additional vacancies arise."
Financial Management Specialist,"The primary purpose of this position is to Executes Component Cost Analysis (CCA) Program Taskings. As a member of a CCA team, observes and participates in a limited manner in cost analysis assignments by performing a variety of routine taskings associated with the preparation of system cost analyses. Assists the project team leader or division chief in gathering data and research."
Program Support Specialist,"Additional Information:
This announcement may be used to fill one or more vacancies.
Duties and responsibilities vary and may increase according to grade level.
This public notice may be used to fill target grades (e.g. GS-05 Target GS-07)."
Medical Laboratory Technician (MLT),"This position is located in the Pathology and Laboratory Medicine Service at the (SLVHCS) main campus in New Orleans, La. Medical Laboratory Technicians perform as specialists in specimen processing for the clinical laboratory and works in all areas Clinical Chemistry, Coagulation, Hematology, Immunochemistry, Serology, Urinalysis, Immunohematology, Microbiology and Specimen Procurement and Processing, performing a wide range of emergency, routine, complex and specialized test procedures."
Interdisciplinary Cost Engineer,"First Cutoff Date: January 23, 2019 Additional Cutoff Dates: End of every month if necessary Final Closing Date: December 31, 2019 WHEN YOU APPLY UNDER THIS ANNOUNCEMENT, YOUR RESUME WILL BE PLACED IN OUR CANDIDATE INVENTORY AND WILL BE CONSIDERED. About the Position: Positions will be filled at both Phoenix, AZ and Sacramento, CA."
Physician (Internal Medicine),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? Recruitment/Relocation may be authorized for highly qualified candidates.
PCS may be authorized for highly qualified candidates."
Physician (Pulmonologist),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation Incentive May be available.
PCS May be authorized."
Physician (Nephrologist),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation Incentive May be available.
PCS may be authorized."
Food and Beverage Attendant (Snack Bar) NA-02,"The Area of Consideration for this vacancy announcement is ISLAND OF OAHU. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at Leilehua Golf Course, Wahiawa, Hawaii. This is a Standing Register with an initial cutoff date set for 03-APR-2019. Eligible applicants will be referred to management upon request."
Educational Aide (Various),"DoDEA, through its Community Strategic Plan has made a commitment to be among the world's leaders in Education. The mission to educate, engage, and empower each student to succeed in a dynamic world is achieved through its five strategic goals of Student, School, talent, Organization, and Outreach Excellence. DoDEA is a major Department of Defense (DoD) Field Activity with worldwide scope. DoDEA plans, directs, and coordinates, and manages the education programs for DoD dependents."
Educational Aide (Various),"The Department of Defense Education Activity (DoDEA) through its Community Strategic Plan has made a commitment to be among the world's leaders in education, enriching the lives of military-connected students and the communities in which they live. The mission to educate,engage and empower each student to succeed in a dynamic world is achieved through five strategic goals of Student, School, Talent, Organization, and Outreach Excellence and is a major DoD Field Activity with worldwide scope."
Orthopedic Surgeon,"This position is located in the Department of Surgery, Orthopedic Service, Albany Stratton VA Medical Center, Albany, NY and supports the Network 2 Mission to care for our Veterans with compassion and excellence. This position is responsible for providing direct patient care and surgery as well as teaching and resident supervision within the Orthopedic Surgery Section. Duties and responsibilities are carried out throughout the Veteran's Affairs Medical Center in Albany, NY."
Physician (Emergency Medicine),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation may be authorized.
PCS may be authorized."
Physician (Hospitalist),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation may be authorized.
PCS may be authorized."
Physician (Hematologist/Oncologist),Recruitment/Relocation may be authorized for highly qualified candidates. PCS may be authorized for highly qualified candidates.
Administration and Program Management Specialist,"Additional Information: This announcement may be used to fill one or more vacancies.
Duties and responsibilities vary and may increase according to grade level.
This public notice may be used to fill target grades (i.e. GS-07 and GS-15)"
Logistics Management Series,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information. The primary purpose of this position is to serve as a logistics management specialist in support of acquisition phases of assigned systems, programs, or major equipment."
IT Specialist (Network Services),This is a Direct Hire Solicitation for Cyber Workforce Positions. Multiple vacancies exist and may be filled from this announcement at any of the locations listed. Applications will be accepted on an ongoing basis. Applications will only be referred as actual vacancies occur. There may or may not be actual/projected vacancies at the time you submit your application and designate your locations of choice. Your resume will not be reviewed for qualifications until a selection is made.
IT Specialist (Policy and Planning),This is a Direct Hire Solicitation for Cyber Workforce Positions. Multiple vacancies exist and may be filled from this announcement at any of the locations listed. Applications will be accepted on an ongoing basis. Applications will only be referred as actual vacancies occur. There may or may not be actual/projected vacancies at the time you submit your application and designate your locations of choice. Your resume will not be reviewed for qualifications until a selection is made.
IT Specialist (Systems Administration),This is a Direct Hire Solicitation for Cyber Workforce Positions. Multiple vacancies exist and may be filled from this announcement at any of the locations listed. Applications will be accepted on an ongoing basis. Applications will only be referred as actual vacancies occur. There may or may not be actual/projected vacancies at the time you submit your application and designate your locations of choice. Your resume will not be reviewed for qualifications until a selection is made.
IT Specialist (INFOSEC),This is a Direct Hire Solicitation for Cyber Workforce Positions. Multiple vacancies exist and may be filled from this announcement at any of the locations listed. Applications will be accepted on an ongoing basis. Applications will only be referred as actual vacancies occur. There may or may not be actual/projected vacancies at the time you submit your application and designate your locations of choice. Your resume will not be reviewed for qualifications until a selection is made.
RECORDS AND INFORMATION MANAGEMENT SPECIALIST,"Additional Information: This announcement may be used to fill one or more vacancies.
Duties and responsibilities vary and may increase according to grade level.
This public notice may be used to fill target grades (e.g. GS-05 Target GS-12)"
Physician (Cardiologist),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation may be authorized.
PCS may be authorized."
Nurse (Advanced Practice Registered Nurse Anesthetist)/ Nurse Anesthetist,About the Position: A recruitment or relocation bonus may be authorized. Salary negotiation may be available for those candidates who are new to Federal service. The initial cut-off date for referral consideration is 5 days from the opening date of the announcement. Applicants applying by the initial cut off will receive first consideration. Applications received after this date will be given referral consideration as vacancies occur. This is a Direct Hire Solicitation.
Security Guard,"About the Position: This is a fulltime, permanent GS-5 position with the Physical Security branch of the Directorate of Emergency Services located at Fort Leonard Wood Missouri."
Medical Instrument Technician (Gastroenterology),"The Medical Instrument Technician (MIT) for Gastroenterology (GI) will function as an integral member of the GI team during procedures of the gastrointestinal tract. MIT's in GI assist the practitioner in endoscopic procedures, such as esophagogastroduodenoscopy (EGD), colonoscopy, endoscopic retrograde cholangiopancreatography (ERCP), and endoscopic ultrasound. The technicians ensure proper performance of equipment, set up equipment, and reprocess endoscopic reusable medical equipment (RME)."
Technologist,"The primary purpose of this position is to perform duties as a Technologist, working under general supervision in the form of broad technical, policy, and program guidance. Incumbent is relied upon to accomplish assigned functions on own initiative. Independently formulates requirements, monitors approved resources, and develops, recommends, and monitors implementation of management policies and procedures."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
SECURITY GUARD,"About the Position: This is a permanent GS-5 security guard position with the Physical Security Branch of the Directorate of Emergency Services located at Fort Sill, Oklahoma."
Physician (Ambulatory Care),"The West Texas VA Health Care System is currently recruiting for Primary Care Physician(s), Ambulatory Care Service for the main facility in Big Spring, Texas and the Community Based Outpatient Clinics in Abilene, Texas."
Social Worker (HUD-VASH),"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans.
***NOTE: Declining to be interviews, failure to respond/accept interview attempts, or failure to report for a scheduled interview will be considered as a declination for further consideration for employment against this vacancy.***"
Nurse (Clinical Care Coordinator),"This is a Direct Hire Open Continuous Announcement (OCA) for Nurse (Clinical Care Coordinator) for the Nursing department at the Phoenix Indian Medical Center in Phoenix, Arizona and will report to the Supervisory Nurse onsite. Experience on a care team responsible for chronic disease management of empanelled patients, leads the care team in day to day population based management and proactive planning for chronic and preventive disease screening."
IT Specialist (INFOSEC/Network Services),Who May Apply: US Citizens This is a Direct Hire Solicitation for Cyber Workforce Positions. Multiple vacancies exist and may be filled from this announcement as new vacancies occur. Applications will be accepted on an ongoing basis. Applications will only be referred as actual vacancies occur. There may or may not be actual/projected vacancies at the time you submit your application. Your resume will not be reviewed for qualifications until a selection is made.
Monitor,"The Department of Defense Education Activity (DoDEA), through its Community Strategic Plan has made a commitment to be among the world's leaders in education, enriching the lives of military-connected students and the communities in which they live. The mission to educate, engage and empower each student to succeed in a dynamic world is achieved through five strategic goals of Student, School, Talent, Organization, and Outreach Excellence and is a major DoD Field Activity with worldwide scope."
IT Specialist,"The primary purpose of this position is: This is a formal Air Force civilian training position, established under the PALACE Acquire (PAQ) program. As such, it is centrally managed and funded by the Air Force Personnel Center, Force Renewal and Development Directorate and administered by the Communications and Information Career Field Team, HQ AFPC/DPIBB, JBSA-Randolph TX 78150-4530."
Project Manager,"About the Position: Must be able to satisfy the requirements of the 26JUL12 DODI 1400.25 V1230, DoD Civilian Personnel Management System: Employment in Foreign Areas and Employee Return Rights. Visit http://www.dtic.mil/whs/directives/corres/pdf/140025v1230.pdf. This position is located at US Army Engineering District, Far East, Programs and Project Management Division. Responsible for assuring the overall management, control, coordination and execution of assigned projects."
Food Service Worker (FT) WG-2,"Vacancy Identification Number (VIN): CAYN-10392570-19-CC The Charles George VA Medical Center is recruiting for Full-Time (WG-02) Food Service Worker in Nutrition and Food Service. Who May Apply: ""Status Candidates"". For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document."
Transportation Security Officer (TSO),"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change."
Clinical/Counseling Psychologist (HBPC),"The Alexandria VA Health Care System is seeking a Clinical Psychologist for the Home Based Primary Care Team in Alexandria, Louisiana."
Recreation Assistant (Facilities Operator) NF-02,The Area of Consideration for this vacancy announcement is surrounding area for Fort Campbell (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration. The position is located at Fort Campbell KY Community Recreation Division.
Safety Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Fire Protection Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
EDUCATIONAL TECHNICIAN (CHILD DEVELOPMENT),"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information."
Medical Technologist,"Recruitment/Relocation incentive may be authorized for a well-qualified candidate.
A Medical Technologist develops, performs, evaluates, interprets, correlates, and validates the accuracy of laboratory procedures and results. Testing procedures are performed on a variety of biological specimens and/or environmental samples using manual or automated techniques, and require a broad exercise of independent judgment and responsibility with minimal technical supervision."
Materials Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Food Service Worker (PT) WG-2,"Vacancy Identification Number (VIN): CAYN-10392935-19-CC The Charles George VA Medical Center is recruiting for Part-Time (WG-02) Food Service Worker in Nutrition and Food Service. Who May Apply: ""Status Candidates"". For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document."
ACPE Certified Educator,"This is a full-time as an ACPE Certified Educator in Chaplain Service and is responsible for designing, developing, managing, directing and conducting the Chaplain Intern, Resident and Fellow graduate level instruction at the local VA Health Care System and in the capacity of ACPE Certified Educator for the VA Midwest Health Care Network (VISN 23) ACPE System Center. Work schedule: Monday - Friday, 8:00 am to 4:30 with rotating on call, weekends & holidays."
Food Service Worker (FT) WG-4,"Vacancy Identification Number (VIN): CAYN-10393057 The Charles George VA Medical Center is recruiting for Full-Time (WG-04) Food Service Worker in Nutrition and Food Service. Who May Apply: ""Status Candidates"". For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document."
Surgical Technician,"This positing is located within the Surgery Service Suite. The incumbent functions at an advanced level with specific and specialized training and skills required in the Surgery work setting. The incumbent functions independently to provide a wide range of support to the professional nurses and physicians in the Operating Room, participating with the surgical team members in planning and implementing complex procedures under general supervision of the surgical team."
Registered Nurse (4 Main-5 Main-6B-Safe Harbor),"The Inpatient Registered Nurse (RN) positions are located in Patient Care Service (4 Main, 5 Main, 6B, Safe Harbor). RNs reports directly to unit Nurse Manager. The RNs manages patients on Telemetry. RNs assigned to 5 Main (Medical/Oncology) will obtain chemotherapy certification. RNs selected for and assigned to Safe Harbor will manage patients receiving palliative care and end of life care. Positions potentially require flexibility in schedule and assignments, as this is a 24/7 hospital."
Construction Control Technical - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Housekeeping Aid,"Incumbent receives general work instructions from the supervisor. However, due to the nature of the duties and the areas where these are performed, employee works independently a majority of the time, with work being spot-checked for accuracy and compliance with established standards of quality and quantity."
Civil Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Food Service Worker (PT) WG-4,"Vacancy Identification Number (VIN): CAYN-10393560-19-CC The Charles George VA Medical Center is recruiting for Part-Time (WG-04) Food Service Worker in Nutrition and Food Service. Who May Apply: ""Status Candidates"". For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document."
Enviromental Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Health Technician Monitor,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
Electrical Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Physician-Chief Physical Medicine & Rehabilitation,"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY and
Columbus, OH. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment and/or Relocation may be authorized.
PCS may be authorized."
Computer Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Aerospace Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Nurse/Clinical Nurse (Advanced Practice Registered Nurse Practitioner/Psychiatric),About the Position: A recruitment or relocation bonus may be authorized. Salary negotiation may be available for those candidates who are new to Federal service. Student Loan repayment may be authorized. The initial cut-off date for referral consideration is 5 days from the opening date of the announcement. Applicants applying by the initial cut off will receive first consideration. Applicants received after this date will be given referral consideration as vacancies occur.
Physician-Chief Pathology & Laboratory,"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH and Charleston, WV. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Recruitment/Relocation may be authorized.
PCS may be authorized."
Physician (Physiatrist),"Huntington, WV is the home of Marshall University. Located in the scenic Ohio Valley on the banks of the Ohio River, Huntington offers many cultural and outdoor activities and is in easy driving distance of several larger metropolitan areas such as Lexington, KY, Columbus and Cincinnati, OH. With a relaxed lifestyle and affordable living, Huntington is an excellent place to raise a family. Relocation/Recruitment may be authorized.
PCS may be authorized."
TRAINING TECHNICIAN,This TRAINING TECHNICIAN position is located in the operations section of the 49th MP Brigade and is part of the CA HQ 49th MP BDE. This is an open until filled announcement. The announcement will be posted until all positions have been filled. Applications will be reviewed every 30 days and you will receive an email regarding your application status when reviewed.
Architect,"About the Position: Incumbent will function as one of several staff architects within the Engineering Division, Design Branch, Architectural Section with responsibility for design, layout and construction of buildings found at military installations and civil works project sites within a multi-state area. This position is being filled under the Expedited Hiring Authority (EHA) for Defense Acquisition Workforce Positions in accordance with 10 USC &#167; 1705(g)."
Cook NA-06,"The Area of Consideration for this vacancy announcement is for Citizens and Non-Citizens within Fort Hamilton's local commuting area defined as: Kings, Queens, New York, Richmond, Bronx, Nassau, Suffolk, Westchester, Essex, Union, Middlesex, Somerset, Monmouth, Fairfield counties. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at the Fort Hamilton Community Club."
Chemical Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Engineer & Architecture Student Trainee - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Industrial Engineering Technical - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Industrial Engineer - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Psychologist,You could be part of an important initiative to provide mental health care for our nations Veterans! Every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans. America's Veterans need you! This announcement is Open Continuous and will be open for 6 months or until filled as part of the VA's Mental Health Hiring Initiative. Resumes will be pulled every 30 days or until filled.
Psychologist (PTSD),"You could be part of an important initiative to provide mental health care for our nations Veterans! The Department of Veterans Affairs (VA) needs mental health professionals who possess the energy, compassion, and commitment to serve those who serve our Country. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans. America's Veterans need you!"
Transportation Clerk and Assistant - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Licensed Practical Nurse (Tulsa),"The Licensed Practical/Vocational Nurse (LPN/LVN), is a member of the healthcare team who performs a variety of nursing skills specific to the clinical needs of patients on the assigned work unit and under the supervision of a registered nurse in a variety of inpatient and outpatient locations."
Physical Therapist,The Physical Therapist will be a part of the Physical Therapy Section of the Physical Medicine and Rehabilitation Service at the Memphis VA Medical Center
Contract Specialist - Direct Hire,"You will serve as a Contract Specialist and may support any of the following programs: FHWA, FMCSA, Build America Bureau, or ITACE. You will award, administer and closeout contracts to support these programs and may procure complex studies; technical &amp; professional services; professional training services; specialized equipment; or IT supplies/services. These programs administer large dollar, multiyear contracts; task/delivery orders; inter/intra-agency agreements; and purchase orders."
Attorney - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Paralegal Specialist - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Practical Nurse/Vocational Nurse,"About the Position:
The initial cut-off date for referral consideration is 5 days from the opening date of the announcement. Applicants applying by the initial cut off will receive first consideration. Applications received after this date will be given referral consideration as vacancies occur. A recruitment or relocation bonus may be authorized. This is a Direct Hire Solicitation."
Contact Representative - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
General Arts and Information - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Museum Curator - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Museum Specialist and Technician - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Registered Nurse (Inpatient Telemetry),The VA Ann Arbor Healthcare System is seeking a Registered Nurse (Inpatient Telemetry) to be a member of the Patient Care Services Team.
Registered Nurse (Intensive Care Unit),The VA Ann Arbor Healthcare System is seeking a Registered Nurse (Intensive Care Unit) to be a member of the Patient Care Services team.
Physician (Lynchburg Community Based Outpatient Clinic),This position is for a Primary Care Physician for a Community Based Outpatient Clinic in Lynchburg. The physician directly responsible to the Chief of Primary Care Service Line and accountable for the provision of direct patient care and for the delivery of quality care to a culturally diverse population with complex needs. The Physician will be responsible for collaborating with a Patient Aligned Care Team (PACT) in coordinating care for Veterans locally and at the Salem VAMC .
Language Specialist- Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Technical Writer and Editor - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Visual Informationist - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Nursing Assistant,"Vacancy Identification Number (VIN): 10394524. Work Schedule: 40 hour work week. 8 or 12 hours day, evening, or night shifts with alternating weekends and holidays.
Financial Disclosure Report: Not required"
Nurse (Emergency),"This is a Direct Hire Open Continuous Announcement (OCA) for Nurse (Emergency) in the Emergency Room department at the Phoenix Indian Medical Center in Phoenix, AZ and will report to the Supervisory Nurse onsite. Performs professional nursing duties in the care of trauma and emergency patients managing critical patient care in varying medical situations reflecting the knowledge of hospital policy and procedures relating to patient care."
General Business and Industry Specialist - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Medical Technologist (Generalist),"RECRUITMENT/RELOCATION INCENTIVE BONUS may be authorized to a highly qualified applicant with a two (2) year service obligation agreement. The Medical Technologist serves as a generalist with responsibility for performing procedures in all areas of the laboratory to include chemistry, hematology, coagulation, urinalysis, immuno-hematology, and microbiology. The generalist either works in a specific department or rotates with other generalists through the above mentioned areas."
Contracting - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
HR ASST (MILITARY),"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION.
This National Guard position is for a HR ASST (MILITARY), Position Description Number D2014000 and is part of the IL MILPO, National Guard. About the Position: This is an open and continuous job announcement. Applications will be accepted through the open period and pulled at the request of the hiring official when a vacancy becomes available."
Industrial Property Managment - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Procurement Clerical and Technician - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Production Control - Direct Hire Authority,"Click on ""Learn more about this agency"" button below for IMPORTANT additional information."
Social Services Assistant,"The Great Plains Area Youth Treatment Center is a Federal facility and a smoke-free environment. GPAYRTC is an 18-bed residential facility that provides a multidisciplinary, multimodel (12 Steps, adventure based, traditional therapy oriented) program for Native American adolescents. Services are provided seven days a week. The incumbent will be required to work on any of the shifts to include day, evening, overnight, weekends, and holidays."
Housekeeping Aid,"The position has primary duties of cleaning, polishing, and sanitizing all environmental surfaces to include but not limited to surgical operating rooms, patient care bedrooms, research and clinical labs, clinical procedure and exam rooms, offices, and public spaces."
